name,zip,county,district,latitude,longitude
Újbarok,2066,Fejér,,47.4790282,18.558418867294673
Óbarok,2063,Fejér,,47.49223963494682,18.56803572284822
Szente,2655,Nógrád,,47.96750952503494,19.28303115270371
Ősagárd,2610,Nógrád,,47.85812824857884,19.191944003428013
Cserháthaláp,2694,Nógrád,,47.97957318856072,19.37794500930251
Ipolyszög,2660,Nógrád,,48.05228747180134,19.23242637
Kozárd,3053,Nógrád,,47.91423410780291,19.61855029538962
Garáb,3067,Nógrád,,47.978010612876545,19.63981670064878
Bokor,3066,Nógrád,,47.92958933983575,19.5418541
Kánó,3735,Borsod-Abaúj-Zemplén,,48.427568401281064,20.599179409988082
Meszes,3754,Borsod-Abaúj-Zemplén,,48.438595415483476,20.795230294945608
Hidvégardó,3768,Borsod-Abaúj-Zemplén,,48.55979275,20.83907202538742
Komjáti,3765,Borsod-Abaúj-Zemplén,,48.545175153494775,20.76165344571901
Damak,3780,Borsod-Abaúj-Zemplén,,48.31663993212449,20.821475439182905
Becskeháza,3768,Borsod-Abaúj-Zemplén,,48.52935440743349,20.83551345899924
Tornabarakony,3765,Borsod-Abaúj-Zemplén,,48.49214682169856,20.81903671898759
Sajólászlófalva,3773,Borsod-Abaúj-Zemplén,,48.18501937998365,20.673515411216417
Varbóc,3756,Borsod-Abaúj-Zemplén,,48.464041054214476,20.64509097374956
Balajt,3780,Borsod-Abaúj-Zemplén,,48.32079555017673,20.786709614865305
Siklósnagyfalu,7823,Baranya,,45.82020480923376,18.36330826184779
Bosta,7811,Baranya,,45.949952201489644,18.21033856288692
Kásád,7827,Baranya,,45.779070766190706,18.399285173240138
Rádfalva,7817,Baranya,,45.859635945561614,18.12552821
Siklósbodony,7814,Baranya,,45.91036017286924,18.120384967431782
Kisdér,7814,Baranya,,45.939568094003754,18.127994304208418
Csarnóta,7811,Baranya,,45.89475438617505,18.216090549036288
Szilvás,7811,Baranya,,45.96146199659054,18.198260770379978
Bisse,7811,Baranya,,45.90836432055328,18.26008150862904
